INDEX,player_team,homeandaway,worl,dates
1,Braves,@,L,2019-03-28
2,Braves,@,L,2019-03-30
3,Braves,@,L,2019-03-31
4,Braves,,W,2019-04-01
5,Braves,,W,2019-04-03
6,Braves,,W,2019-04-04
7,Braves,,W,2019-04-05
8,Braves,,L,2019-04-06
9,Braves,,W-wo,2019-04-07
10,Braves,@,W,2019-04-08
11,Braves,@,W,2019-04-09
12,Braves,,L,2019-04-11
13,Braves,,L,2019-04-12
14,Braves,,W,2019-04-13
15,Braves,,W,2019-04-14
16,Braves,,L,2019-04-16
17,Braves,,L,2019-04-17
18,Braves,,L,2019-04-18
19, Apr 20, Apr 20, Apr 20,2019-04-20
20, Apr 20, Apr 20, Apr 20,2019-04-20
21,Braves,@,W,2019-04-21
22,Braves,@,L,2019-04-23
23,Braves,@,W,2019-04-24
24,Braves,@,L,2019-04-25
25,Braves,,L,2019-04-26
26,Braves,,L,2019-04-27
27,Braves,,W,2019-04-28
28,Braves,,W,2019-04-29
29,Braves,,L,2019-04-30
30,Braves,,W,2019-05-01
31,Braves,,L,2019-05-02
32,Braves,@,W,2019-05-03
33,Braves,@,W,2019-05-04
34,Braves,@,W,2019-05-05
35,Braves,@,L,2019-05-06
36,Braves,@,L,2019-05-07
37,Braves,@,L,2019-05-08
38,Braves,@,L-wo,2019-05-09
39,Braves,@,W,2019-05-10
40,Braves,@,W,2019-05-11
41,Braves,@,W,2019-05-12
42,Braves,,L,2019-05-14
43,Braves,,W,2019-05-15
44,Braves,,W,2019-05-16
45,Braves,,W,2019-05-17
46,Braves,,W-wo,2019-05-18
47,Braves,,L,2019-05-19
48,Braves,@,W,2019-05-20
49,Braves,@,L-wo,2019-05-21
50,Braves,@,W,2019-05-22
51,Braves,@,W,2019-05-23
52,Braves,@,W,2019-05-24
53,Braves,@,L,2019-05-25
54,Braves,@,W,2019-05-26
55,Braves,,L,2019-05-28
56,Braves,,L,2019-05-29
57,Braves,,L,2019-05-31
58,Braves,,W,2019-06-01
59,Braves,,W,2019-06-02
60,Braves,@,W,2019-06-04
61,Braves,@,L,2019-06-05
62,Braves,@,L,2019-06-06
63,Braves,@,W,2019-06-07
64,Braves,@,W,2019-06-08
65,Braves,@,W,2019-06-09
66,Braves,,W,2019-06-10
67,Braves,,W,2019-06-11
68,Braves,,W-wo,2019-06-12
69,Braves,,W,2019-06-13
70,Braves,,W-wo,2019-06-14
71,Braves,,L,2019-06-15
72,Braves,,W,2019-06-16
73,Braves,,W,2019-06-17
74,Braves,,L,2019-06-18
75,Braves,,W,2019-06-19
76,Braves,@,L,2019-06-21
77,Braves,@,W,2019-06-22
78,Braves,@,W,2019-06-23
79,Braves,@,L,2019-06-24
80,Braves,@,W,2019-06-25
81,Braves,@,W,2019-06-26
82,Braves,@,L,2019-06-27
83,Braves,@,W,2019-06-28
84,Braves,@,W,2019-06-29
85,Braves,@,L,2019-06-30
86,Braves,,L,2019-07-02
87,Braves,,W,2019-07-03
88,Braves,,W,2019-07-04
89,Braves,,W-wo,2019-07-05
90,Braves,,L,2019-07-06
91,Braves,,W,2019-07-07
92,Braves,@,W,2019-07-12
93,Braves,@,W,2019-07-13
94,Braves,@,W,2019-07-14
95,Braves,@,W,2019-07-15
96,Braves,@,L,2019-07-16
97,Braves,@,L,2019-07-17
98,Braves,,L,2019-07-18
99,Braves,,W-wo,2019-07-19
100,Braves,,L,2019-07-20
101,Braves,,W,2019-07-21
102,Braves,,L,2019-07-23
103,Braves,,L,2019-07-24
104,Braves,@,W,2019-07-26
105,Braves,@,W,2019-07-27
106,Braves,@,L,2019-07-28
107,Braves,@,L,2019-07-29
108,Braves,@,W,2019-07-30
109,Braves,@,W,2019-07-31
110,Braves,,W,2019-08-01
111,Braves,,L,2019-08-02
112,Braves,,W-wo,2019-08-03
113,Braves,,L,2019-08-04
114,Braves,@,L-wo,2019-08-05
115,Braves,@,W,2019-08-06
116,Braves,@,W,2019-08-07
117,Braves,@,L,2019-08-08
118,Braves,@,W,2019-08-09
119,Braves,@,L-wo,2019-08-10
120,Braves,@,W,2019-08-11
121,Braves,,W,2019-08-13
122,Braves,,W,2019-08-14
123,Braves,,L,2019-08-15
124,Braves,,L,2019-08-16
125,Braves,,W,2019-08-17
126,Braves,,W,2019-08-18
127,Braves,,W,2019-08-20
128,Braves,,W,2019-08-21
129,Braves,,W-wo,2019-08-22
130,Braves,@,W,2019-08-23
131,Braves,@,W,2019-08-24
132,Braves,@,W,2019-08-25
133,Braves,@,L-wo,2019-08-26
134,Braves,@,L,2019-08-27
135,Braves,@,W,2019-08-28
136,Braves,,W,2019-08-30
137,Braves,,W,2019-08-31
138,Braves,,W,2019-09-01
139,Braves,,W,2019-09-02
140,Braves,,W,2019-09-03
141,Braves,,W,2019-09-05
142,Braves,,W,2019-09-06
143,Braves,,W,2019-09-07
144,Braves,,L,2019-09-08
145,Braves,@,W,2019-09-09
146,Braves,@,L,2019-09-10
147,Braves,@,W,2019-09-11
148,Braves,@,L,2019-09-12
149,Braves,@,W,2019-09-13
150,Braves,@,W,2019-09-14
151,Braves,@,L,2019-09-15
152,Braves,,L,2019-09-17
153,Braves,,L,2019-09-18
154,Braves,,W,2019-09-19
155,Braves,,W,2019-09-20
156,Braves,,W,2019-09-21
157,Braves,,L,2019-09-22
158,Braves,@,L,2019-09-24
159,Braves,@,W,2019-09-25
160,Braves,@,L,2019-09-27
161,Braves,@,L,2019-09-28
162,Braves,@,L-wo,2019-09-29
